Rule ID,Description,URL,,,,,
S2112,"""URL.hashCode"" and ""URL.equals"" should be avoided",https://rules.sonarsource.com/java/RSPEC-2112,,,,,
S2114,Collections should not be passed as arguments to their own methods,https://rules.sonarsource.com/java/RSPEC-2114,,,,,
S2116,"""hashCode"" and ""toString"" should not be called on array instances",https://rules.sonarsource.com/java/RSPEC-2116,,,,,
S2118,Non-serializable classes should not be written,https://rules.sonarsource.com/java/RSPEC-2118,,,,,
S2122,"""ScheduledThreadPoolExecutor"" should not have 0 core threads",https://rules.sonarsource.com/java/RSPEC-2122,,,,,
S2123,Values should not be uselessly incremented,https://rules.sonarsource.com/java/RSPEC-2123,,,,,
S2127,"""Double.longBitsToDouble"" should not be used for ""int""",https://rules.sonarsource.com/java/RSPEC-2127,,,,,
S2129,"Constructors should not be used to instantiate ""String"", ""BigInteger"", ""BigDecimal"" and primitive-wrapper classes",https://rules.sonarsource.com/java/RSPEC-2129,,,,,
S2130,"Parsing should be used to convert ""Strings"" to primitives",https://rules.sonarsource.com/java/RSPEC-2130,,,,,
S2131,"Primitives should not be boxed just for ""String"" conversion",https://rules.sonarsource.com/java/RSPEC-2131,,,,,
S2133,"Objects should not be created only to ""getClass""",https://rules.sonarsource.com/java/RSPEC-2133,,,,,
S2134,"Classes extending java.lang.Thread should override the ""run"" method",https://rules.sonarsource.com/java/RSPEC-2134,,,,,
S2140,"Methods of ""Random"" that return floating point values should not be used in random integer generation",https://rules.sonarsource.com/java/RSPEC-2140,,,,,
S2147,Catches should be combined,https://rules.sonarsource.com/java/RSPEC-2147,,,,,
S2151,"""runFinalizersOnExit"" should not be called",https://rules.sonarsource.com/java/RSPEC-2151,,,,,
S2153,Boxing and unboxing should not be immediately reversed,https://rules.sonarsource.com/java/RSPEC-2153,,,,,
S2154,Dissimilar primitive wrappers should not be used with the ternary operator without explicit casting,https://rules.sonarsource.com/java/RSPEC-2154,,,,,
S2159,Silly equality checks should not be made,https://rules.sonarsource.com/java/RSPEC-2159,,,,,
S2165,"""finalize"" should not set fields to ""null""",https://rules.sonarsource.com/java/RSPEC-2165,,,,,
